Room,Name,Actor,Item,Logic,Status,Comment,Aloha Comment,Aloha Suggested,Final Logic?
Estate 2,Estate 2 - Lorna 1,Estate_001_Zone_002.EVT_ev_s_n5040_Maiden_Defeat,"spirits[""s5040_maiden""]",Estate02Left | Estate02Upper | Estate02UpperRight | Estate02LowerRight,Done,,,,Estate02Left | Estate02Upper | Estate02UpperRight | Estate02LowerRight
Estate 2,Estate 2 - Lorna 2,Estate_001_Zone_002.EVT_ev_s_n5040_Maiden_Defeat.1,"keys[""key_higher_a""]",Estate02Left | Estate02Upper | Estate02UpperRight | Estate02LowerRight,Done,,,,Estate02Left | Estate02Upper | Estate02UpperRight | Estate02LowerRight
Estate 3,Estate 3 - Special Alloy Core,Estate_001_Zone_003.BP_Interactable_AddItem_C_0,"materials[""parts_lv5_a""]",Estate03UpperLeft | Estate03HiddenRight,Done,,good,,Estate03UpperLeft | Estate03HiddenRight
Estate 4,Estate 4 - Abelia's Bracelet,Estate_001_Zone_004.BP_Interactable_AddItem_C_0,"equipments[""armor_014""]",Estate04Left,Done,,good,,Estate04Left
Estate 5,Estate 5 - Scrap,Estate_001_Zone_005.BP_Interactable_AddItem_C_0,"currencies[""rare""]",Estate05Lower,Done,,good,,Estate05Lower
Estate 6,Estate 6 - Frost Confidential Records 2,Estate_001_Zone_006.BP_Interactable_AddItem_C_0,"tips[""tip_frostsrecord_02""]",Estate06Lower | Estate06Right,Done,,good,,Estate06Lower | Estate06Right
Estate 7,Estate 7 - Charmed Fragment,Estate_001_Zone_007.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",Estate07UpperRight,Done,,good,,Estate07UpperRight
Estate 7,Estate 7 - Materials,Estate_001_Zone_007.BP_Interactable_AddItem_C_1,"currencies[""Default""]",(Estate07Lower | Estate07LowerRight) + (high_jump | (dive + (WALL_DASH | (hook + (dodge | double_jump))))),In Progress,,"don't think high_jump is enough alone if im reading logic correctly; still need double_jump | dive
double_jump + hook + wall_grab also sufficient ahh","(Estate07Lower | Estate07LowerRight) + (high_jump + (dive | double_jump) 
| double_jump + wall_grab + hook 
| dive + (WALL_DASH | (hook + (dodge | double_jump))))","(Estate07Lower | Estate07LowerRight) + (high_jump + (dive | double_jump) 
| double_jump + wall_grab + hook 
| dive + (WALL_DASH | (hook + (dodge | double_jump))))"
Estate 7,Estate 7 - Levy,Estate_001_Zone_007.BP_Trigger_Event_LevyTreasure_C_1,"quests[""quest_artifact""]",(Estate07Lower | Estate07LowerRight) + double_jump,In Progress,,dive up the waterfall?,(Estate07Lower | Estate07LowerRight) + (double_jump | dive),(Estate07Lower | Estate07LowerRight) + (double_jump | dive)
Estate 8,Estate 8 - Scrap,Estate_001_Zone_008.BP_Interactable_AddItem_C_1,"currencies[""rare""]",(Estate08Upper | Estate08Left | Estate08Right) + dive,Done,,good,,(Estate08Upper | Estate08Left | Estate08Right) + dive
Estate 10,Estate 10 - Grimoire,Estate_001_Zone_010.BP_Interactable_TreasureBox_C_1,"stats[""shop_line_up""]",Estate10Left + TORRENT,Done,,good,,Estate10Left + TORRENT
Estate 11,Estate 11 - Special Alloy Core,Estate_001_Zone_011.BP_Interactable_AddItem_C_0,"materials[""parts_lv5_a""]",(Estate11Left | Estate11Right) + TORRENT,Done,,good,,(Estate11Left | Estate11Right) + TORRENT
Estate 12,Estate 12 - Frost Confidential Records 1,Estate_001_Zone_012.BP_Interactable_AddItem_C_0,"tips[""tip_frostsrecord_01""]",(Estate12Left | Estate12Upper | Estate12Right) + dive,Done,,good,,(Estate12Left | Estate12Upper | Estate12Right) + dive
Factory 1,Factory 1 - Special Alloy Core,Factory_001_Zone_001.BP_Interactable_AddItem_C_0,"materials[""parts_lv5_a""]","(Factory02LowerLeft | Factory02HiddenCenterRight | Factory02UpperRight | Factory02UpperLeft | Factory02LowerRight | Factory02UpperCenterRight) 
+ (high_jump + WALL_DASH)",Unsure,Dash Wall needs access from Factory02,seems good... should it just be Factory02UpperRight then? or Factory01Left?,,"(Factory02LowerLeft | Factory02HiddenCenterRight | Factory02UpperRight | Factory02UpperLeft | Factory02LowerRight | Factory02UpperCenterRight) 
+ (high_jump + WALL_DASH)"
Factory 1,Factory 1 - Mysterious Glowing Can,Factory_001_Zone_001.BP_Interactable_AddItem_C_1,"passives[""stamina_damage_up_b_1""]",Factory01Left + (high_jump | (WALL_CHARGE + dodge + double_jump)),Done,,"Added parenthesis to fix red... wall_charge ->  wall_grab

I dont think you need dodge for this",Factory01Left + (high_jump | (wall_grab + double_jump)),Factory01Left + (high_jump | (wall_grab + double_jump))
Factory 2,Factory 2 - Worker's Surveillance Records,Factory_001_Zone_002.BP_Interactable_AddItem_C_0,"tips[""tip_surveillancerecord_01""]","(Factory02UpperLeft + (WALL_DASH | high_jump |  (wall_grab + double_jump + dodge) | (wall_grab + hook + (dodge | double_jump)))) 
| ((Factory02UpperRight | Factory02UpperCenterRight | Factory02LowerLeft | Factory02LowerRight | Factory02HiddenCenterRight) 
+ (high_jump | (hook + wall_grab + (dodge | double_jump)))) ",Unsure,"this could be gotten from Factory01Right using dodge + double_jump + WALL_DASH

don't even need dodge; just Factory01Right + double_jump + WALL_DASH",Added parenthesis to fix red... ,,"Factory02UpperLeft + (WALL_DASH | high_jump |  wall_grab + double_jump + dodge | wall_grab + hook + (dodge | double_jump)) 
| (Factory02UpperRight | Factory02UpperCenterRight | Factory02LowerLeft | Factory02LowerRight | Factory02HiddenCenterRight) 
+ (high_jump | hook + wall_grab + (dodge | double_jump | wall_charge) | WALL_DASH + double_jump + dodge) "
Factory 5,Factory 5 - Scrap,Factory_001_Zone_005.BP_Interactable_AddItem_C_0,"currencies[""rare""]","(Factory05Left | Factory05Upper) 
| (Factory05Right + (wall_grab | high_jump | (double_jump + dodge)))",Done,,good,,"(Factory05Left | Factory05Upper) 
| (Factory05Right + (wall_grab | high_jump | (double_jump + dodge)))"
Factory 6,Factory 6 - Labourer's Tag,Factory_001_Zone_006.BP_Interactable_TreasureBox_C_0,"passives[""damage_cut_debuff_down_1""]","((Factory06Right | Factory06LowerLeft) + (high_jump + (wall_grab + (double_jump | dodge)) | WALL_DASH)) 
| (Factory06UpperLeft + (WALL_DASH + (dodge | double_jump)) | (high_jump + wall_grab + (dodge | double_jump)))
| (Factory06Upper + WALL_DASH | (high_jump + wall_grab + (dodge | double_jump)))",Done,,"small parenthesis change for Upper
double_jump + dodge + wall_grab for all
there is a WALL_DASH + double_jump from Right/LowerLeft, might need to refactor","((Factory06Right | Factory06LowerLeft) + (double_jump + dodge + wall_grab | high_jump + (wall_grab + (double_jump | dodge)) | WALL_DASH)) 
| (Factory06UpperLeft + (double_jump + dodge + wall_grab | WALL_DASH + (dodge | double_jump)) | (high_jump + wall_grab + (dodge | double_jump)))
| (Factory06Upper + (double_jump + dodge + wall_grab | WALL_DASH | (high_jump + wall_grab + (dodge | double_jump))))","(Factory06Right | Factory06LowerLeft) + (double_jump + dodge + wall_grab | high_jump + (wall_grab + (double_jump | dodge)) | WALL_DASH) 
| Factory06UpperLeft + (double_jump + dodge + wall_grab | WALL_DASH + (dodge | double_jump) | high_jump + wall_grab + (dodge | double_jump))
| Factory06Upper + (double_jump + dodge + wall_grab | WALL_DASH | high_jump + wall_grab + (dodge | double_jump))"
Factory 7,Factory 7 - Factory Management Records,Factory_001_Zone_007.BP_Interactable_AddItem_C_0,"tips[""tip_administrationrecord_01""]",Factory07Left | Factory07Right,Done,,good,,Factory07Left | Factory07Right
Factory 8,Factory 8 - Scrap,Factory_001_Zone_008.BP_Interactable_AddItem_C_1,"currencies[""rare""]",(Factory08UpperRight | Factory08LowerRight) + (hook + (double_jump | dodge)) | (double_jump + dodge),Done,,"from upper, WALL_DASH + (double_jump | dodge)
ie. its interchangable with hook

really funny tech from lower.. dive + dodge + WALL_DASH (ie. using dive momentum at the surface of the water can allow single jump to reach)

yes, swimming in lava","Factory08UpperRight + ((hook | WALL_DASH) + (double_jump | dodge) | double_jump + dodge)
| Factory08LowerRight + (hook + (double_jump | dodge) | double_jump + dodge)","Factory08UpperRight + ((hook | WALL_DASH) + (double_jump | dodge) | double_jump + dodge)
| Factory08LowerRight + (hook + (double_jump | dodge) | double_jump + dodge)"
Factory 9,Factory 9 - Charmed Fragment,Factory_001_Zone_009.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]","Factory09Upper 
| ((Factory09Lower | Factory09Right) + high_jump | (double_jump + wall_grab))",Unsure,Can be gotten using a high_jump In Factory05 then WALL_DASH from Factory12 (This also applies for transition logic to get to Factory09Upper),"climbing from lower/right requires dodge | WALL_DASH

technically it doesnt....... but that is precise. transition logic for upper currently expects dodge | wall_charge","Factory09Upper 
| ((Factory09Lower | Factory09Right) + high_jump | (double_jump + wall_grab + (dodge | wall_charge)))","Factory09Upper 
| (Factory09Lower | Factory09Right) + (high_jump | double_jump + wall_grab)"
Factory 10,Factory 10 - Velnest,Factory_001_Zone_010.EVT_ev_s_e2030_Sector_Defeat,"materials[""parts_lv5_b""]",Factory10Left | Factory10Right,Done,,,,Factory10Left | Factory10Right
Factory 12,Factory 12 - Scrap,Factory_001_Zone_012.BP_Interactable_AddItem_C_1,"currencies[""rare""]","(Factory12Left + (high_jump | wall_grab + double_jump + (wall_charge | (dodge + hook)))) 
| (Factory12Right + high_jump | (WALL_DASH + (dodge | double_jump)) | (wall_grab + (dodge + double_jump) | (hook + (dodge | double_jump))))",Unsure,Can be gotten from falling from Factory15 (factory 15 access can also be granted here with high_jump),"from left: double_jump + dodge + wall_grab works (no hook)

im not really seeing a hook specific option that isnt covered

from right: there is also a hook + wall_charge option (no double | dodge required)
is technically WALL_DASH only accessible

to add a simple factory15Lower then?","Factory12Left + (high_jump | wall_grab + double_jump + (wall_charge | dodge)) 
| Factory12Right + (high_jump | WALL_DASH | wall_grab + (dodge + double_jump) | hook + (dodge | double_jump))
| Factory15Lower","Factory12Left + (high_jump | wall_grab + double_jump + (wall_charge | dodge)) 
| Factory12Right + (high_jump | WALL_DASH | wall_grab + (dodge + double_jump) | hook + (dodge | double_jump))
| Factory15Lower"
Factory 12,Factory 12 - Cain's Ring,Factory_001_Zone_012.BP_Interactable_TreasureBox_C_1,"passives[""onattack_restorehp_damage_1""]","(Factory05Left | (Factory05Right + (wall_grab | (double_jump + dodge))) 
+ high_jump)",Done,Requires access from Factory05,"should these be factory05Left/Right or 05Upper? or Factory12Lower?

maybe not reading parenthesis right, double_jump + dodge is nowhere near enough?

is accessible with WALL_DASH from factory09 -> factory05, wall_grab into factory12 and another WALL_DASH

ideally i'd simplify to Factory05Upper + (WALL_DASH | high_jump)
or Factory12Lower? -> if youre able to transition into it, technically ""should"" be able to access this",Factory05Upper + (WALL_DASH | high_jump),Factory05Upper + (WALL_DASH | high_jump)
Factory 13,Factory 13 - Charmed Fragment,Factory_001_Zone_013.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",((Factory13LowerLeft | Factory13UpperLeft | Factory13Right) + hook + (double_jump | dodge)),Done,,"from UpperLeft, does not require hook (dodge | double_jump suffice)

from right, does not need requirements

from lowerLeft, there is also a high_jump + double_jump + dodge","Factory13UpperLeft + (double_jump | dodge)
| Factory13LowerLeft + (high_jump + double_jump + dodge | hook + (double_jump | dodge))
| Factory13Right","Factory13UpperLeft + (double_jump | dodge)
| Factory13LowerLeft + (high_jump + double_jump + dodge | hook + (double_jump | dodge))
| Factory13Right"
Factory 14,Factory 14 - Grimoire,Factory_001_Zone_014.BP_Interactable_TreasureBox_C_1,"stats[""shop_line_up""]",Factory14Left,Done,,good,,Factory14Left
Factory 15,Factory 15 - Charmed Fragment,Factory_001_Zone_015.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",(Factory12Right | Factory12Left) + high_jump,Done,,"should this be Factory12Upper?
if you can reach the little wall above the Factory21 entrance, can also WALL_DASH + double_jump :(
(falling from Factory15UpperLeft + double_jump is enough)","Factory15Lower + high_jump
| (Factory15UpperLeft | Factory15Right) + WALL_DASH + double_jump","Factory15Lower + high_jump
| (Factory15UpperLeft | Factory15Right) + WALL_DASH + double_jump"
Factory 15,Factory 15 - Magic Vial,Factory_001_Zone_015.BP_Interactable_AddItem_C_1,"stats[""passive_slot_s""]","Factory15Right + (high_jump | hook + dodge + double_jump) 
| Factory15UpperLeft + (hook + (dodge | double_jump))",Unsure,Also doable from Factory12Upper + dodge | hook | double_jump,"hook + high_jump from UpperLeft

I feel like factory15Lower may be worth mentioning with high_jump + (double_jump | dodge) 

there is also WALL_DASH from factory17 | factory16 + high_jump :)

NOTE, technically wall dashing from 17 is also wall dashing from 16?

This might be cooking a little too much - I think that it it will logically boil down to; from UpperLeft, you can WALL_DASH to other side, always, from Factory17","Factory15Right + (high_jump | hook + (dodge + double_jump | WALL_DASH)) 
| Factory15UpperLeft + hook + (high_jump | dodge | double_jump | WALL_DASH)
| Factory15Lower + high_jump + (double_jump | dodge | hook)
| Factory16Right + high_jump + WALL_DASH
| Factory17Right + WALL_DASH + (high_jump | hook) ","Factory15Right + (high_jump | hook + (dodge + double_jump | WALL_DASH)) 
| Factory15UpperLeft + hook + (high_jump | dodge | double_jump | WALL_DASH)
| Factory15Lower + high_jump + (double_jump | dodge | hook)
| Factory16Right + high_jump + WALL_DASH
| Factory17Right + WALL_DASH + (high_jump | hook) "
Factory 18,Factory 18 - Miner Enchancement Project,Factory_001_Zone_018.BP_Interactable_AddItem_C_1,"tips[""tip_enhancementplan_01""]",Factory18UpperLeft + high_jump,Done,,good,,Factory18UpperLeft + high_jump
Factory 18,Factory 18 - Garm's Ascent,Factory_001_Zone_018.EVT_ev_s_5200_Pounder_Upgrade,"aptitudes[""high_jump""]",Factory18UpperLeft,Done,,,,Factory18UpperLeft
Factory 19,Factory 19 - Scrap,Factory_001_Zone_019.BP_Interactable_AddItem_C_1,"currencies[""rare""]",Factory19UpperLeft,Done,,good,,Factory19UpperLeft
Factory 19,Factory 19 - Levy,Factory_001_Zone_019.BP_Trigger_Event_LevyTreasure_C_0,"quests[""quest_stone""]",Factory19LowerLeft + hook + (double_jump | dodge),Done,,good,,Factory19LowerLeft + hook + (double_jump | dodge)
Factory 21,Factory 21 - Milius Lord's Mark,Factory_001_Zone_021.EVT_ev_s_0250_KeyFactory,"keys[""key_higher_b""]",Factory21Right,Done,,"need double_jump | wall_grab | high_jump
Note, requires WALL_DASH for transition to even enter; requirements a little moot",Factory21Right + (double_jump | wall_grab | high_jump),Factory21Right + (double_jump | wall_grab | high_jump)
Factory 21,Factory 21 - Document on the Empyrean Parasol,Factory_001_Zone_021.EVT_ev_s_0250_KeyFactory.1,"tips[""tip_towerumbrella_01""]",Factory21Right,Done,,"need double_jump | wall_grab | high_jump
Note, requires WALL_DASH for transition to even enter; requirements a little moot",Factory21Right + (double_jump | wall_grab | high_jump),Factory21Right + (double_jump | wall_grab | high_jump)
Forest 1,Forest 1 - Crimson Bangle,Forest_001_Zone_001.BP_Interactable_AddItem_C_1,"equipments[""armor_008""]",Forest01UpperDoor,Not Labbed,,good,,Forest01UpperDoor
Forest 2,Forest 2 - Obsolete Core,Forest_001_Zone_002.BP_Interactable_AddItem_C_1,"materials[""parts_lv3_b""]","Forest02UpperRightDoor 
| ((Forest02Right | Forest02LowerLeftDoor | Forest02LowerDoor) + (high_jump | double_jump)) 
| (Forest02UpperLeftDoor + (WALL_DASH | high_jump | double_jump))",Not Labbed,,UpperLeftDoor is accessible without any additional movement; combined with other door logic (ie. WALL_DASH is an option for those as well),"Forest02UpperRightDoor 
| ((Forest02Right | Forest02UpperLeftDoor | Forest02LowerLeftDoor | Forest02LowerDoor) + (high_jump | WALL_DASH | double_jump)) ","Forest02UpperRightDoor 
| ((Forest02Right | Forest02UpperLeftDoor | Forest02LowerLeftDoor | Forest02LowerDoor) + (high_jump | WALL_DASH | double_jump)) "
Forest 2,Forest 2 - Words Etched into Stone,Forest_001_Zone_002.BP_Interactable_AddTutorial_C_1,"tips[""tip_tombstone_01""]",Forest02UpperRightDoor |  Forest02Right | Forest02LowerLeftDoor | Forest02LowerDoor | Forest02UpperLeftDoor,Not Labbed,,"good, does Right need to mention Lever?",,Forest02UpperRightDoor |  Forest02Right | Forest02LowerLeftDoor | Forest02LowerDoor | Forest02UpperLeftDoor
Forest 4,Forest 4 - Charmed Fragment,Forest_001_Zone_004.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]","((Forest04LowerLeft | Forest04UpperLeft) + (WALL_DASH | high_jump | double_jump)) 
| ((Forest04LowerCenterRightDoor | Forest04UpperRightDoor | Forest04UpperCenterDoor) + (high_jump | wall_grab))",Not Labbed,,"update LowerLeft -> LowerLeftDoor
update UpperLeft -> UpperLeftDoor

LowerLeftDoor can also wall_grab + dodge

UpperLeftDoor WALL_DASH is excessive, can be reduced to wall_grab","(Forest04LowerLeftDoor + (wall_grab + (dodge | wall_charge) | high_jump | double_jump)) 
| (Forest04UpperLeftDoor + (wall_grab | high_jump | double_jump)) 
| ((Forest04LowerCenterRightDoor | Forest04UpperRightDoor | Forest04UpperCenterDoor) + (high_jump | wall_grab))","(Forest04LowerLeftDoor + (wall_grab + (dodge | wall_charge) | high_jump | double_jump)) 
| (Forest04UpperLeftDoor + (wall_grab | high_jump | double_jump)) 
| ((Forest04LowerCenterRightDoor | Forest04UpperRightDoor | Forest04UpperCenterDoor) + (high_jump | wall_grab))"
Forest 7,Forest 7 - Chain Belt,Forest_001_Zone_007.BP_Interactable_AddItem_C_1,"passives[""damage_up_grounded_1""]",Forest07Left,Done,,good,,Forest07Left
Forest 9,Forest 9 - Charmed Fragment,Forest_001_Zone_009.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]","(Forest09LowerRight + TORRENT + (wall_grab | high_jump)) 
| ((Forest09LeftDoor | Forest09CenterLeftDoor | Forest09CenterDoor) | (Forest09UpperRightDoor + (dodge | double_jump | WALL_DASH)) | (Forest09CenterRightDoor + (high_jump | wall_grab))) + dive",Not Labbed,,good,,"(Forest09LowerRight + TORRENT + (wall_grab | high_jump)) 
| ((Forest09LeftDoor | Forest09CenterLeftDoor | Forest09CenterDoor ) 
| (Forest09UpperRightDoor + (dodge | double_jump | WALL_DASH)) 
| (Forest09CenterRightDoor + (high_jump | wall_grab))) + dive"
Forest 9,Forest 9 - Materials,Forest_001_Zone_009.BP_Interactable_AddItem_C_3,"currencies[""Default""]","(Forest09LowerRight + TORRENT) 
| (Forest09CenterRightDoor 
| (Forest09UpperRightDoor + (double_jump | dodge | WALL_CHARGE)) 
| (Forest09CenterLeftDoor + (dodge | high_jump | WALL_CHARGE)) 
| ((Forest09LeftDoor | Forest09CenterDoor) + (high_jump | WALL_DASH)) 
+ dive)",Not Labbed,,"replaced wall_charge with WALL_DASH? 
added double_jump from CenterLeftDoor
parenthesis seemed incorrect","Forest09LowerRight + TORRENT 
| (Forest09CenterRightDoor 
| (Forest09UpperRightDoor + (double_jump | dodge | WALL_DASH)) 
| (Forest09CenterLeftDoor + (double_jump | dodge | high_jump | WALL_DASH)) 
| (Forest09LeftDoor | Forest09CenterDoor) + (high_jump | WALL_DASH)) 
+ dive","Forest09LowerRight + TORRENT 
| (Forest09CenterRightDoor 
| (Forest09UpperRightDoor + (double_jump | dodge | WALL_DASH)) 
| (Forest09CenterLeftDoor + (double_jump | dodge | high_jump | WALL_DASH)) 
| (Forest09LeftDoor | Forest09CenterDoor) + (high_jump | WALL_DASH)) 
+ dive"
Forest 9,Forest 9 - Effigy,Forest_001_Zone_009.BP_Interactable_AddItem_C_5,"passives[""damage_cut_minhp_1""]","(Forest09LeftDoor | Forest09CenterDoor | Forest09CenterLeftDoor) 
| (Forest09UpperRightDoor + (dodge | double_jump | WALL_DASH))
| ((Forest09LowerRight + TORRENT) | Forest09CenterRightDoor + (wall_grab | high_jump)) ",Not Labbed,,"Added extra parenthesis to fix red...
otherwise good",,"(Forest09LeftDoor | Forest09CenterDoor | Forest09CenterLeftDoor) 
| (Forest09UpperRightDoor + (dodge | double_jump | WALL_DASH))
| ((Forest09LowerRight + TORRENT) | Forest09CenterRightDoor + (wall_grab | high_jump)) "
Forest 10,Forest 10 - Charmed Fragment,Forest_001_Zone_010.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]",Forest10RightDoor,Done,,good,,Forest10RightDoor
Forest 10,Forest 10 - Materials,Forest_001_Zone_010.BP_Interactable_AddItem_C_2,"currencies[""Default""]","Forest10CenterDoor 
| ((Forest10RightDoor | Forest10LowerLeftDoor) + (high_jump | double_jump))
| (Forest10UpperLeftDoor + ((wall_grab + (dodge | wall_charge)) | double_jump | high_jump))",Not Labbed,,"Added extra parenthesis to fix red...
otherwise good",,"Forest10CenterDoor 
| ((Forest10RightDoor | Forest10LowerLeftDoor) + (high_jump | double_jump))
| (Forest10UpperLeftDoor + ((wall_grab + (dodge | wall_charge)) | double_jump | high_jump))"
Forest 11,Forest 11 - Magic Vial,Forest_001_Zone_011.BP_Interactable_AddItem_C_1,"stats[""passive_slot_s""]",Forest11Right,Done,,good,,Forest11Right
Forest 19,Forest 19 - Beast Horn Ornanment,Forest_001_Zone_019.BP_Interactable_AddItem_C_1,"passives[""damage_cut_maxhp_1""]",((Forest19LeftDoor | Forest19Right) + (high_jump | (wall_jump + double_jump + (dodge | wall_charge)))),Not Labbed,,"Added extra parenthesis to fix red...
Changed wall_jump to wall_grab
double_jump + dodge is enough without wall_grab; simplified the logic
does Right require lever?
otherwise good",((Forest19LeftDoor | Forest19Right) + (high_jump | (double_jump + (dodge | WALL_DASH)))),((Forest19LeftDoor | Forest19Right) + (high_jump | (double_jump + (dodge | WALL_DASH))))
Forest 20,Forest 20 - Spy's Letter,Forest_001_Zone_020.BP_Interactable_AddItem_C_0,"tips[""tip_secretletter_01""]",((Forest20Left | Forest20Right) + (high_jump | double_jump)),Not Labbed,,"from left: there is a very precise dodge + WALL_DASH option 
if there is, i cant recreate it anymore, i should have recorded it; it might be dependant upon invincibility and the wolf enemies?
from right: dash_charge + WALL_DASH ","Forest20Left + (high_jump | double_jump)
| Forest20Right + (dash_charge + WALL_DASH | high_jump | double_jump)","Forest20Left + (high_jump | double_jump)
| Forest20Right + (dash_charge + WALL_DASH | high_jump | double_jump)"
Forest 20,Forest 20 - Charmed Fragment,Forest_001_Zone_020.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]",((Forest20Left | Forest20Right) + (high_jump | (double_jump + (dodge | WALL_DASH)))),Not Labbed,,"similar to above, dash_charge + WALL_DASH from right","Forest20Left + (high_jump | double_jump + (dodge | WALL_DASH)) 
| Forest20Right + (high_jump | double_jump + (dodge | WALL_DASH) | dash_charge + WALL_DASH)","Forest20Left + (high_jump | double_jump + (dodge | WALL_DASH)) 
| Forest20Right + (high_jump | double_jump + (dodge | WALL_DASH) | dash_charge + WALL_DASH)"
Forest 20,Forest 20 - Grimoire,Forest_001_Zone_020.BP_Interactable_TreasureBox_C_1,"stats[""shop_line_up""]",((Forest20Left + (high_jump | double_jump)) | Forest20Right) + dash_charge,Not Labbed,,"Warning: this does NOT work from Forest20Right + dodge + dash_charge , but I think its impossible to find yourself in this situation without random start",,((Forest20Left + (high_jump | double_jump)) | Forest20Right) + dash_charge
Forest 23,Forest 23 - Materials,Forest_001_Zone_023.BP_Interactable_AddItem_C_1,"currencies[""Default""]",Forest23Left + dash_charge + (high_jump | double_jump),Not Labbed,,can also WALL_DASH from 20 to bypass double_jump | high_jump req.,,Forest23Left + dash_charge + (high_jump | double_jump)
Forest 23,Forest 23 - Cassia's Grimoire,Forest_001_Zone_023.BP_Interactable_AddItem_C_3,"tips[""tip_cassiabook_01""]",Forest23Left + dash_charge,Not Labbed,,good,,Forest23Left + dash_charge
Forest 23,Forest 23 - Incomplete Gear,Forest_001_Zone_023.EVT_ev_n_Levy_Treasure2_002,"passives[""reduce_gravity""]",Forest23Left + quest_stone + EVT_ev_n_Levy_Treasure2_001,Not Labbed,,,,Forest23Left + quest_stone + EVT_ev_s_e6000_Rider_Defeat
